Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
MD1000,MD1000,"Upon receipt of a No-Op command, MD shall increment the MD Valid Command Counter and generate an event message.",Debug command to verify application is alive.
MD1001,MD1001,"Upon receipt of a Reset command,  MD shall reset the following housekeeping variables to a value of zero:
a) MD Valid Command Counter
b) MD Command Rejected Counter",Important for testing and on-orbit flight operations in order to start with a “clean slate”.
MD1002,MD1002,"For all MD commands, if the length contained in the message header is not equal to the expected length, MD shall reject the command and issue an event message.",Basic command verification in the event of SEU or memory corruption
MD1003,MD1003,"If Dwell Table ID specified in any MD command exceeds the <PLATFORM_DEFINED> maximum number of allowable memory dwells,  MD shall reject the command and issue an event message","Platform definition allows for scaling of memory dwell. 
Heritage missions have supported between 1 and 4 dwell tables."
MD1004,MD1004,"If MD accepts any command as valid, MD shall execute the command, increment the MD Valid Command Counter and issue an event message",Operation response to command acceptance
MD1005,MD1005,"If MD rejects any command, MD shall abort the command execution, increment the MD Command Rejected Counter and issue an error event message",Operational response to command rejection
MD1006,MD1006,The MD application shall generate an error event message if symbol table operations are initiated but not supported in the current target environment.,Gracefully handle running without a system symbol table to query
MD2000,MD2000,"Upon receipt of a Start Dwell command, MD shall identify the command-specified tables as ENABLED and start processing the command-specified memory dwell tables, starting with the first entry, until one of the following:
a) an entry that has a zero value for the Number of Bytes field or
b) until it has processed the last entry in a Dwell Table:",Provides individual control of each memory dwell. Note that more than one dwell table can be started in one command.
MD2000.2,MD2000.2,"If the sum of all of the 'delay between samples' for any memory dwell table being commanded to start equals 0, MD shall send an event to notify user that no processing will occur in the dwell table's current state.","The dwell rate is calculated by the total number of delays between samples in the table. In this case, MD for this table is effectively disabled."
MD2001,MD2001,"Upon receipt of a Stop Dwell command, MD shall identify the command-specified memory dwell tables as DISABLED and stop processing the command-specified memory dwell tables",Provides individual control of each memory dwell. Required in order to modify an individual memory dwell. Note that more than one dwell table can be stopped at a time.
MD2001.1,MD2001.1,"The following items shall be set to zero for each Dwell:
1) Current Dwell Packet Index
2) Current Entry in the Dwell Table
3) Current Countdown counter","Since the dwell is disabled, these values should be zero (otherwise could be
misleading)."
MD3000,MD3000,"During each memory dwell cycle, MD shall collect data specified in each enabled memory dwell table which contains the following:
a) Table ID
b) <OPTIONAL> signature
c) For each desired sample up to <PLATFORM_DEFINED> entries:
  1) address
  2) number of bytes
  3) delay between samples.",A memory dwell cycle is defined by the receipt of a wake-up message issued from the CFS Scheduler. Delay between samples’ supports supercommutation.  Note changing the total number of bytes collected will change the message size.
MD3000.1,MD3000.1,<OPTIONAL>  Symbol Name and offset can be used in lieu of an absolute address,"If symbolic addressing is supported, symbolic names and offset can be used instead of an absolute address"
MD3000.2,MD3000.2,"The collection shall be done for each entry in an active Memory Dwell Table, starting with the first entry, until one of the following :
a) it reaches an entry that has a zero value for the Number of Bytes parameter or
b) until it has processed the last entry in a Dwell Table",No need to process unused entries in the table
MD3000.3,MD3000.3,Data collection occurs only when a Dwell Table is both ENABLED and has a non-zero dwell rate.,Operational data collection control
MD3001,MD3001,"When MD collects all of the data specified in a memory dwell table (as defined in MD3000.2), MD shall issue a memory dwell message containing the following:
a) Table ID
b) <OPTIONAL> Signature
c) Number of bytes sampled
d) Data","Send a message containing all of the data after all of the data is collected.
Note that a separate memory dwell message is sent for each enabled memory dwell table. Also note that the effective rate of each memory dwell
message is the sum of all of the delays contained in the corresponding dwell
table times the wake-up rate."
MD3002,MD3002,"Upon receipt of a Table Load, MD shall verify the contents of the table and if the table is invalid, reject the table.",cFE Table Services provides an interface to modify dwell table. Need to validate the table
MD3002.2,MD3002.2,"If any address fails validation, MD shall reject the table. Validation includes:
a) If a symbolic address is specified, Symbol Table is present and symbolic address is contained in the Symbol Table,
b) resolved address (numerical value of symbolic address if present + offset address) is within valid range
c) if resolved address is specified for a 2-byte dwell, address is an even value,
d) if resolved address is specified for a 4-byte dwell, address is an integral multiple of 4.",Protects against operator error.
